municipio_id,nome,tipo,endereco,latitude,longitude,codigo_inep
2311900,VALDIZAR MARTINS EEF,Municipal,"SABOEIRO, 63590-000 Saboeiro - CE.",,,23108770
2311900,ANTONIO GERMINO RODRIGUES EEIF,Municipal,"SABOEIRO, 63590-000 Saboeiro - CE.",,,23108789
2311900,ELISEU HERBST EEF,Municipal,"SABOEIRO, 63590-000 Saboeiro - CE.",,,23108797
2311900,JORGE FURTADO LEITE EEF,Municipal,"FLAMENGO, 63590-000 Saboeiro - CE.",,,23108800
2311900,MARIA LINDA DA GLORIA EEIF,Municipal,"DISTRITO FLAMENGO, CENTRO. 63590-000 Saboeiro - CE.",-6.260156667,-39.7556,23108827
2313302,DR ALBERTO FEITOSA LIMA EEIF,Municipal,"PERIMETRO IRRIGADO VARZEA DO BOI, S/N COLONOS. 63660-000 Tauá - CE.",-5.9816121,-40.2602832,23108835
2313302,ESCOLA DE EDUCACAO INFANTIL ANA PEDROSA CASTELO,Municipal,"AVENIDA HELIO PEDROSA CASTELO, 1254 NOVA ALDEOTA. 63660-000 Tauá - CE.",-5.9901243,-40.2948367,23108843
2313302,COLEGIO ANTONIO ARARIPE,Privada,"PRACA TEMISTOCLES FIALHO, 01 CENTRO. 63660-000 Tauá - CE.",-6.001302513,-40.29195877,23108851
2313302,ESCOLA DE EDUCACAO INFANTIL AUREA JATAI MOTA,Municipal,"RUA DR. BERNARDO DE CASTRO FEITOSA, S/N PROXIMO A DELEGACIA. ALTO BRILHANTE. 63660-000 Tauá - CE.",-6.0044324,-40.2904053,23108878
2313302,CENTRO EDUCACIONAL BETESDA DE TAUA,Municipal,"RUA CORONEL EUFRASIO DE OLIVEIRA, 45 ALDEOTA. 63660-000 Tauá - CE.",-5.9910369,-40.2947787,23108886
2313302,CENTRO DE EDUCACAO INFANTIL CLARINDA GONCALVES DA SILVA - VOVO CLARINDA,Municipal,"RUA C, 51 PREDIO ESCOLAR. PARQUE QUINAMUIU. 63660-000 Tauá - CE.",-6.0108677,-40.3018698,23108924
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL DOMINGAS GOMES DE AGUIAR,Municipal,"JUNCO - SEDE DISTRITAL, ZONA RURAL. SEDE DISTRITAL. 63660-000 Tauá - CE.",-5.9620644,-40.3470987,23108932
2313302,ESCOLA DE EDUCACAO INFANTIL JOAO FIRMINO DE ARAUJO,Municipal,"RUA ISAIAS SETUBAL DA PAIXAO, 33 TAUAZINHO. 63660-000 Tauá - CE.",-6.0041928,-40.2975016,23109017
2313302,JOSE FERREIRA BARRA EEIF,Municipal,"FAZENDA VENEZA, 63660-000 Tauá - CE.",,,23109050
2313302,JOSE VALDEMAR REGO FAMILIA RURAL EEIF,Municipal,"URUSSUI SEDE DISTRITAL, 63660-000 Tauá - CE.",,,23109068
2313302,ESCOLA DE ENSINO FUNDAMENTAL JULIO REGO,Municipal,"RUA ISAIAS SETUBAL DA PAIXAO, 10 PALACIO QUINAMUIU. COLIBRIS. 63660-000 Tauá - CE.",-6.0031931,-40.298713,23109076
2313302,CEJA LUZIA ARAUJO DE FREITAS,Estadual,"RUA ABIGAIL CIDRAO DE OLIVEIRA, 51 PREDIO ESCOLAR. COLIBRIS. 63660-000 Tauá - CE.",-6.0042997,-40.3002774,23109106
2313302,EEEP MONSENHOR ODORICO DE ANDRADE,Estadual,"AV CHERMONT ALVES DE OLIVEIRA, 4600 JOSE OSIMO. 63660-000 Tauá - CE.",-5.9921599,-40.2902973,23109149
2313302,RAIMUNDO GONCALVES MAIA EEIF,Municipal,"VILA CASTELO, S/N SEDE DISTRITAL. SEDE DISTRITAL. 63660-000 Tauá - CE.",-6.0863604,-40.3934415,23109165
2313302,RAIMUNDO CUSTODIO DA SILVA EEIF,Municipal,"CATINGUEIRA, 63660-000 Tauá - CE.",,,23109173
2313302,ESCOLA DE EDUCACAO INFANTIL COMPANHEIRO LEONISTICO SEBASTIAO CESAR REGO,Municipal,"AVENIDA HELIO PEDROSA CASTELO, 120 NOVA ALDEOTA. 63660-000 Tauá - CE.",-5.9905349,-40.294788,23109190
2313302,SEBASTIAO REGO EEIF,Municipal,"ANGICO, S/N 63660-000 Tauá - CE.",,,23109203
2313302,ESCOLA DE EDUCACAO INFANTIL SOSSEGO DA MAMAE,Municipal,"RUA 105, COHAB, S/N JOSE HOLANDA LIMA. 63660-000 Tauá - CE.",-6.0137877,-40.2965491,23109220
2313302,ESCOLA DE ENSINO FUNDAMENTAL TERESA ARAGAO SERRA,Municipal,"RUA CORONEL EUFRASIO DE OLIVEIRA, 105 ALDEOTA. 63660-000 Tauá - CE.",-5.99108892,-40.29426048,23109238
2313302,ESCOLA DE ENSINO FUNDAMENTAL FRANCISCA CAVALCANTE FIALHO,Municipal,"VILA CACHOEIRINHA DO PAI SENHOR, S/N BARRA NOVA. 63660-000 Tauá - CE.",-5.6252579,-40.1226726,23109297
2313302,JUVENAL SARAIVA DA SILVA EEIF,Municipal,"BELEM BARRA NOVA, 63660-000 Tauá - CE.",,,23109386
2313302,TEMISTOCLES LINS FIALHO EEIF,Municipal,"CACHOEIRINHA, SN 63660-000 Tauá - CE.",-5.6212153,-40.1145649,23109408
2313302,ANTONIO ALVES DE PAIVA EEIF,Municipal,"LIMAO, 63660-000 Tauá - CE.",-5.821666,-40.12694,23109432
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO FERREIRA DE SOUSA,Municipal,"SANTANA, S/N 63660-000 Tauá - CE.",-5.748295,-40.0250817,23109564
2313302,FRANCISCO BARBOSA EEIF,Municipal,"INGA, 63660-000 Tauá - CE.",,,23109580
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PREFEITO PEDRO PEDROSA DE CASTRO CASTELO,Municipal,"VILA DE POCO DA ONCA, S/N DISTRITO. CARRAPATEIRAS. 63660-000 Tauá - CE.",-5.8401013,-40.2110101,23109602
2313302,JOAO JOSE VIEIRA GOMES EEIF,Municipal,"MUTUCA, S/N 63660-000 Tauá - CE.",,,23109610
2313302,ESCOLA DE ENSINO FUNDAMENTAL JORGE MASSILON CAVALCANTE,Municipal,"AV. ODILON AGUIAR, 465 CENTRO. 63660-000 Tauá - CE.",,,23109645
2313302,JOSE LINO DA SILVA EEIF,Municipal,"CATOLE, CARRAPATEIRAS. 63660-000 Tauá - CE.",,,23109653
2313302,ESCOLA DE ENSINO FUNDAMENTAL MARIA ALEXANDRINO NOGUEIRA MARQUES,Municipal,"RUA PROJETADA 99, 35 PREDIO ESCOLAR. TAUAZINHO. 63660-000 Tauá - CE.",-6.0129366,-40.2944833,23109700
2313302,ESCOLA DE ENSINO FUNDAMENTAL MARIA MOTA LIMA,Municipal,"RUA FAUSTO BARRETO, S/N ALTO BRILHANTE. 63660-000 Tauá - CE.",-6.0088403,-40.289452,23109726
2313302,ESCOLA DE ENSINO FUNDAMENTAL MARIA DO LIVRAMENTO BARRETO DA COSTA LEITAO,Municipal,"RUA PEDRO MATIAS DE VASCONCELOS, S/N ESCOLA. MANOEL ALVES MOTA. 63660-000 Tauá - CE.",-6.0090893,-40.28635,23109742
2313302,SEBASTIAO CLARO DE OLIVEIRA EEIF,Municipal,"CIPO, CARRAPATEIRAS. 63660-000 Tauá - CE.",,,23109785
2313302,SANTA TEREZINHA EEIF,Municipal,"CARRAPATEIRAS, 63660-000 Tauá - CE.",,,23109815
2313302,VICENCIA BIRRO DOS REIS EEIF,Municipal,"CARRRAPATEIRAS, 63660-000 Tauá - CE.",,,23109831
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL ANA ROSA DO BONFIM - ANEXO MARIA SALOME DE SOUSA,Municipal,"RIACHO DAS VARAS, S/N ESCOLA. DISTRITO DE INHAMUNS. 63660-000 Tauá - CE.",-5.9122279,-40.0212043,23109866
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL DESIDERIO DE SOUSA PEDROSA,Municipal,"GUARIBAS, 63660-000 Tauá - CE.",-5.8996289,-39.9165811,23109980
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO JULIAO DE SOUSA,Municipal,"VILA DE LAGOA DO EUFRASINO, LAGOA DO EUFRASINO. 63660-000 Tauá - CE.",-5.8387433,-39.9311784,23109998
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL JOSE CACULA PEDROSA,Municipal,"VILA DE INHAMUNS, S/N 63660-000 Tauá - CE.",-5.8820755,-39.9515883,23110031
2313302,CARLOS ALBUQUERQUE EEIF,Municipal,"MARRECAS, 63660-000 Tauá - CE.",,,23110163
2313302,COSMO PEREIRA DOS SANTOS EEIF,Municipal,"BELO ALTO, 63660-000 Tauá - CE.",,,23110180
2313302,FRANCISCO BERNARDO DE OLIVEIRA EEIF,Municipal,"VILA DE MISSAO, S/N 63660-000 Tauá - CE.",-6.1907179,-40.4607382,23110228
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO MIGUEL DOS SANTOS,Municipal,"VILA JOAQUIM MOREIRA, S/N S/N. 63660-000 Tauá - CE.",-6.1222573,-40.4585624,23110244
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL JESUS MARIA JOSE,Municipal,"VILA DE MARRECAS, S/N MARRECAS. 63660-000 Tauá - CE.",-6.1472139,-40.3944053,23110287
2313302,ANTONIO TORQUATO RODRIGUES EEIF,Municipal,"SITIO COCOCA, S/N 63660-000 Tauá - CE.",-6.2840426,-40.4163809,23110333
2313302,MANOEL LUIZ DE OLIVEIRA EEIF,Municipal,"LOCALIDADE RIACHO DOS CAVALOS, MARRECAS. 63660-000 Tauá - CE.",,,23110350
2313302,MARIA REZUL DE OLIVEIRA EEIF,Municipal,"MUDUBIM, MARRECAS. 63660-000 Tauá - CE.",,,23110384
2313302,FRANCISCA CHAGAS RODRIGUES EEIF,Municipal,"BAIXAS MARRECAS, 63660-000 Tauá - CE.",,,23110430
2313302,AFONSO NEVES TEIXEIRA EEIF,Municipal,"PALMEIRAS, 63660-000 Tauá - CE.",,,23110457
2313302,ANTONIO PINHEIRO TELES EEIF,Municipal,"BOM NOME, 63660-000 Tauá - CE.",,,23110465
2313302,ANTONIO ZACARIAS MOTA EEIF,Municipal,"SANTA MARIA, 63660-000 Tauá - CE.",,,23110473
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL ENEAS ALVES MOTA,Municipal,"RUA FRANCISCO MISAEL CAVALCANTE, S/N 63660-000 Tauá - CE.",-5.969114928,-39.89952131,23110562
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO ALVES DE OLIVEIRA,Municipal,"POCO DE BAIXO, 63660-000 Tauá - CE.",-6.002236,-40.0294213,23110589
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO CIRILO DE ARAUJO,Municipal,"VARZEA DA SERRA, 63660-000 Tauá - CE.",-5.990341,-40.1346141,23110600
2313302,JOAO VICTOR MOTA EEIF,Municipal,"SAO JOAO DOS CANDIDOS, 63660-000 Tauá - CE.",-5.944659,-39.9465883,23110643
2313302,JOAQUIM LEITAO DE MENDONCA EEIF,Municipal,"MARRUAS, 63660-000 Tauá - CE.",,,23110651
2313302,LUIZ FERREIRA DOS SANTOS EEIF,Municipal,"OLHO D AGUA DOS MOTAS, 63660-000 Tauá - CE.",,,23110708
2313302,MANOEL FELICIO DE SOUSA EEIF,Municipal,"PAU DE FOGO, 63660-000 Tauá - CE.",,,23110716
2313302,PEDRO MOREIRA DE OLIVEIRA EEIF,Municipal,"SANTO ANTONIO DOS PEDROSA, 63660-000 Tauá - CE.",,,23110759
2313302,SILVESTRE ARAUJO MOTA EEIF,Municipal,"BARRA DO CANDIDOSS, MARRUAS. 63666-000 Tauá - CE.",,,23110783
2313302,ESCOLA DE ENSINO FUNDAMENTAL AMANCIO CORDEIRO JUNIOR,Municipal,"RUA OLIMPIO CORDEIRO DOS SANTOS, 121 SANTA TEREZA. 63660-000 Tauá - CE.",-5.8659138,-40.5731985,23110791
2313302,ANTONIO SERAFIM DE ALMEIDA EEIF,Municipal,"SEDE DISTRIATAL, 63660-000 Tauá - CE.",,,23110821
2313302,CENTRO DE EDUCACAO INFANTIL ADELAIDE COUTINHO DE LOIOLA,Municipal,"RUA JOSE LIBERATO - VILA DE SANTA TERESA, S/N SANTA TEREZA. 63660-000 Tauá - CE.",-5.8669482,-40.5644261,23110856
2313302,ESCOLA DE ENSINO FUNDAMENTAL CRISTINA LIBERALINA LOIOLA,Municipal,"CALUMBI, 63660-000 Tauá - CE.",-5.9348065,-40.5291289,23110929
2313302,DOMINGOS GOMES DE FREITAS EEI,Municipal,"TRICI, 63660-000 Tauá - CE.",,,23110937
2313302,MOISES FERREIRA BARRETO EEIF,Municipal,"VILA SAO JOAO, SN SANTA TERESA. 63660-000 Tauá - CE.",-5.882369,-40.47612,23110953
2313302,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCA GONCALVES DE AMORIM,Municipal,"MASSAPE, SANTA TEREZA. 63660-000 Tauá - CE.",-5.8815339,-40.5111742,23110970
2313302,ISRAEL GONCALVES LIMA EEI,Municipal,"TRICI, 63660-000 Tauá - CE.",,,23111003
2313302,ESCOLA DE ENSINO INFANTIL E ENSINO FUNDAMENTAL JOSEFA PEREIRA SENA,Municipal,"SANTA LUZIA, TRICI. TRICI. 63660-000 Tauá - CE.",-5.9550967,-40.6902244,23111089
2313302,LAURINDA DA COSTA AZEVEDO EEIF,Municipal,"LIBERDADE, S/N -. 63660-000 Tauá - CE.",,,23111097
2313302,MANOEL RODRIGUES MATOS EEIF,Municipal,"SAO FELIPE, 63660-000 Tauá - CE.",,,23111151
2313302,PEDRO PIRES DAS CHAGAS EEIF,Municipal,"DORMIDEIRA, SANTA TERESA. 63660-000 Tauá - CE.",,,23111216
2300309,EEEP ALFREDO NUNES DE MELO,Estadual,"RUA EMILIA DE LIMA PINHO, SN SAO FRANCISCO. 63560-000 Acopiara - CE.",-6.089568,-39.4556278,23111291
2300309,AMARO BEZERRA EEF,Municipal,"VILA LUNA, S/N SEDE RURAL. 63560-000 Acopiara - CE.",-5.999621667,-39.42259833,23111305
2300309,ANTONIO FRANCISCO DE SOUZA EEF,Municipal,"SITIO CALABACO, S/N 63560-000 Acopiara - CE.",,,23111372
2300309,CASTRO ALVES EEF,Municipal,"SITIO SOLIDAO, S/N ZONA RURAL. 63560-000 Acopiara - CE.",-6.0344918,-39.5921965,23111577
2300309,INSTITUTO COELHINHO PRE-ESCOLAR E ENS FUNDAMENTAL,Privada,"RUA JOAO PEREIRA, 48 CENTRO. 63560-000 Acopiara - CE.",-6.0910613,-39.4491031,23111631
2300309,ELODIA TAVARES DE SOUZA EEF,Municipal,"RUA LUIS PEREIRA DA SILVA, 66 VILA SAO JOAO. 63560-000 Acopiara - CE.",-6.0937669,-39.4600238,23111674
2300309,EMILIA DE LIMA PINHO EDUCANDARIO,Privada,"RUA EMIDIO ALVES DE ALMEIDA, 240 CENTRO. 63560-000 Acopiara - CE.",-6.0911921,-39.4545192,23111682
2300309,FRANCISCO UCHOA DE ALBUQUERQUE EEF PROFESSOR,Municipal,"RUA ANTONIO MOREIRA DE OLIVEIRA, S/N VILA ESPERANCA. 63560-000 Acopiara - CE.",-6.0990766,-39.4634675,23111810
